GP,Date,Opponent,GF,GA,,S,PIM,PPG,PPO,SHG,OS,OPIM,OPPG,OPPO,OSHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,10/3/2018,Montreal Canadiens,3,2,W,26,6,1,3,0,36,6,1,4,0,49,63,43.8,35,42,45.5,32,18,64,35.3,105.8
2,10/6/2018,Ottawa Senators,3,5,L,37,4,1,2,0,24,4,0,2,0,76,36,67.9,51,30,63,34,33,50.7,65.2,84.9
3,10/7/2018,Chicago Blackhawks,7,6,W,34,6,1,2,0,31,4,0,3,0,52,64,44.8,38,38,50,27,26,50.9,43.3,100
4,10/9/2018,Dallas Stars,7,4,W,30,2,2,3,0,34,6,1,1,0,60,54,52.6,45,44,50.6,26,29,47.3,50,109.4
5,10/11/2018,Detroit Red Wings,5,3,W,35,13,2,4,0,29,15,0,3,0,37,50,42.5,34,41,45.3,27,26,50.9,53.1,100.5
6,10/13/2018,Washington Capitals,4,2,W,28,6,1,3,0,27,6,1,3,0,48,49,49.5,32,33,49.2,19,19,50,52.4,109.1
7,10/15/2018,Los Angeles Kings,4,1,W,25,6,1,2,0,34,4,0,3,0,46,60,43.4,28,44,38.9,23,27,46,53.1,111.8
8,10/18/2018,Pittsburgh Penguins,0,3,L,38,2,0,1,0,38,2,1,2,0,80,71,53,58,64,47.5,30,24,55.6,42.3,94.6
9,10/20/2018,St. Louis Blues,1,4,L,23,8,0,4,0,25,8,0,4,1,42,38,52.5,29,28,50.9,20,25,44.4,50.3,89.6
10,10/24/2018,Winnipeg Jets,4,2,W,39,6,0,1,0,40,2,1,3,0,60,68,46.9,45,54,45.5,27,30,47.4,43.2,108.9
11,10/27/2018,Winnipeg Jets,3,2,W,31,4,0,3,0,24,8,1,2,0,55,42,56.7,43,35,55.1,24,27,47.1,58.6,105.7
12,10/29/2018,Calgary Flames,1,3,L,25,8,1,3,0,34,8,1,3,0,49,49,50,37,39,48.7,30,25,54.5,38.9,92.9
13,11/1/2018,Dallas Stars,1,2,L,32,4,1,5,0,19,10,0,2,0,44,30,59.5,31,22,58.5,12,28,30,57.7,86.7
14,11/3/2018,Pittsburgh Penguins,5,0,W,33,10,1,3,1,31,6,0,5,0,45,40,52.9,33,31,51.6,39,24,61.9,47.5,113.6
15,11/6/2018,Vegas Golden Knights,3,1,W,21,6,0,1,0,37,2,0,3,0,37,69,34.9,26,53,32.9,31,21,59.6,29.7,113.3
16,11/9/2018,New Jersey Devils,6,1,W,32,6,0,4,0,39,8,0,3,0,48,56,46.2,34,44,43.6,29,19,60.4,46.8,118.3
17,11/10/2018,Boston Bruins,1,5,L,41,8,0,3,0,34,6,2,4,0,43,44,49.4,32,33,49.2,22,30,42.3,44.8,92.5
18,11/13/2018,Los Angeles Kings,5,1,W,35,4,3,6,0,23,12,0,2,0,39,44,47,27,29,48.2,21,19,52.5,47.6,105.2
19,11/15/2018,San Jose Sharks,5,3,W,34,12,0,3,1,45,12,1,3,0,58,63,47.9,40,54,42.6,29,18,61.7,35.9,109.9
20,11/16/2018,Anaheim Ducks,2,1,W,35,2,0,2,0,39,4,0,1,0,65,59,52.4,50,43,53.8,28,24,53.8,45.5,102.9
21,11/19/2018,Columbus Blue Jackets,4,2,W,26,0,0,0,0,39,0,0,0,0,56,60,48.3,41,52,44.1,38,27,58.5,38.5,110.3
22,11/21/2018,Carolina Hurricanes,2,5,L,32,4,0,2,0,45,6,1,1,0,65,73,47.1,51,61,45.5,34,25,57.6,52.2,96.7
23,11/23/2018,Columbus Blue Jackets,2,4,L,34,4,0,3,0,24,6,0,2,1,56,38,59.6,42,31,57.5,18,27,40,70.6,94.1
24,11/24/2018,Philadelphia Flyers,6,0,W,41,0,0,0,0,34,0,0,0,0,68,58,54,51,48,51.5,26,37,41.3,46.8,114.6
25,11/26/2018,Boston Bruins,4,2,W,31,2,1,1,0,40,2,1,2,0,58,71,45,42,52,44.7,29,24,54.7,41.2,107.3
26,11/28/2018,San Jose Sharks,5,3,W,29,6,3,4,0,41,8,2,3,0,40,61,39.6,32,44,42.1,35,23,60.3,43.2,106.4
27,12/1/2018,Minnesota Wild,5,3,W,23,6,1,1,0,41,2,0,3,0,43,65,39.8,31,51,37.8,29,26,52.7,40,113.4
28,12/4/2018,Buffalo Sabres,4,3,W,30,4,0,2,0,41,4,0,2,0,61,58,51.3,39,48,44.8,35,27,56.5,55.2,106.8
29,12/6/2018,Detroit Red Wings,4,5,L,31,4,0,4,0,32,8,0,2,0,69,56,55.2,42,45,48.3,30,24,55.6,55.7,97.6
30,12/8/2018,Boston Bruins,3,6,L,32,40,1,2,0,32,58,1,4,0,53,40,57,42,32,56.8,30,29,50.8,58.4,88.2
31,12/11/2018,Carolina Hurricanes,4,1,W,29,10,0,4,0,30,8,1,5,0,52,50,51,37,36,50.7,19,21,47.5,50,116
32,12/13/2018,Tampa Bay Lightning,1,4,L,49,8,0,6,0,21,14,1,3,1,53,40,57,36,25,59,31,28,52.5,66.1,91.5
33,12/15/2018,Florida Panthers,3,4,L,32,8,0,4,0,33,20,2,4,0,61,40,60.4,43,33,56.6,25,21,54.3,58.1,103.3
34,12/18/2018,New Jersey Devils,7,2,W,31,6,0,3,0,29,6,0,3,0,49,45,52.1,44,37,54.3,28,26,51.9,48.6,117.2
35,12/20/2018,Florida Panthers,6,1,W,26,6,3,3,0,26,6,1,3,0,57,48,54.3,36,37,49.3,23,25,47.9,50,114.3
36,12/22/2018,New York Rangers,5,3,W,36,4,0,2,0,28,4,0,2,0,60,53,53.1,47,43,52.2,29,17,63,53.1,105.6
37,12/23/2018,Detroit Red Wings,5,4,W,24,6,0,2,0,30,4,0,3,0,42,46,47.7,35,39,47.3,23,21,52.3,54.2,110.2
38,12/28/2018,Columbus Blue Jackets,4,2,W,29,6,1,2,0,29,6,0,2,0,47,60,43.9,35,44,44.3,32,22,59.3,47.6,103.8
39,12/29/2018,New York Islanders,0,4,L,36,6,0,2,0,28,4,1,3,0,63,50,55.8,46,41,52.9,31,26,54.4,58,88
40,1/3/2019,Minnesota Wild,3,4,L,41,4,0,4,0,34,8,0,1,0,59,48,55.1,46,36,56.1,36,24,60,40.2,96.8
41,1/5/2019,Vancouver Canucks,5,0,W,34,6,0,0,0,28,0,0,3,0,69,46,60,50,33,60.2,32,17,65.3,42.1,114.7
42,1/7/2019,Nashville Predators,0,4,L,18,4,0,3,0,32,6,1,2,0,52,56,48.1,30,42,41.7,16,24,40,53.6,90.3
43,1/10/2019,New Jersey Devils,4,2,W,43,8,0,1,0,29,6,0,2,0,64,46,58.2,55,38,59.1,34,37,47.9,65.5,102.2
44,1/12/2019,Boston Bruins,2,3,L,32,4,1,2,0,29,4,0,2,0,63,46,57.8,44,37,54.3,23,24,48.9,51.6,92.5
45,1/14/2019,Colorado Avalanche,3,6,L,20,6,0,2,0,38,6,0,2,1,36,58,38.3,23,45,33.8,27,18,60,34.5,103.4
46,1/17/2019,Tampa Bay Lightning,4,2,W,31,8,0,2,0,38,4,1,4,0,47,52,47.5,41,36,53.2,26,33,44.1,40,111.1
47,1/18/2019,Florida Panthers,1,3,L,21,6,0,1,0,29,2,0,3,0,40,41,49.4,30,35,46.2,32,27,54.2,41.2,93.7
48,1/20/2019,Arizona Coyotes,2,4,L,26,6,0,1,0,31,2,0,4,0,71,42,62.8,42,35,54.5,23,13,63.9,79.2,93.9
49,1/23/2019,Washington Capitals,6,3,W,37,2,1,1,0,44,2,1,1,0,74,65,53.2,54,56,49.1,35,20,63.6,43.3,109.5
50,2/1/2019,Detroit Red Wings,2,3,L,21,8,0,5,0,33,10,1,4,0,35,40,46.7,26,34,43.3,14,19,42.4,42.9,104.4
51,2/2/2019,Pittsburgh Penguins,3,2,W,33,2,0,2,0,30,4,1,1,0,72,57,55.8,52,39,57.1,31,22,58.5,52.8,105.4
